,source,target,gender,human_path_length,path_deviation,playtime
0,Ganesha,Elizabeth_II_of_the_United_Kingdom,female,7,4,71
1,Ganesha,Mao_Zedong,male,4,1,133
2,Margaret_Sanger,William_and_Mary,female,9,6,1474
3,Margaret_Sanger,James_I_of_England,male,6,3,96
4,Nintendo,Condoleezza_Rice,female,4,1,73
5,Nintendo,Osama_bin_Laden,male,4,1,116
6,Philippines,Margaret_Thatcher,female,4,1,60
7,Philippines,Osama_bin_Laden,male,4,1,48
8,Space_Race,Elizabeth_I_of_England,female,7,4,1860
9,Space_Race,Richard_III_of_England,male,9,6,392
10,Spacecraft_propulsion,Helen,female,8,4,210
11,Spacecraft_propulsion,William_Ewart_Gladstone,male,6,2,100
